Explainer,acc_initial_right,acc_initial_wrong,n,mask,Detector
SHAP,0.5022026431718062,0.6410256410256411,9,True,DetectorDetectGPT
Anchor,0.8161434977578476,1.0,10,True,DetectorDetectGPT
LIME,0.6828193832599119,0.5194805194805194,10,True,DetectorDetectGPT
Random,0.3865546218487395,0.8048780487804879,10,True,DetectorDetectGPT
Random,0.4642857142857143,0.8048780487804879,10,True,DetectorDetectGPT
Random,0.46875,0.8809523809523809,10,True,DetectorDetectGPT
Random,0.4528301886792453,0.8857142857142857,10,True,DetectorDetectGPT
Random,0.4017094017094017,0.8974358974358975,10,True,DetectorDetectGPT
SHAP,0.4845814977973568,0.7435897435897436,10,True,DetectorDetectGPT
Anchor,0.8161434977578476,1.0,15,True,DetectorDetectGPT
Random,0.33613445378151263,0.9024390243902439,15,True,DetectorDetectGPT
Random,0.39285714285714285,0.9024390243902439,15,True,DetectorDetectGPT
Random,0.3854166666666667,0.9047619047619048,15,True,DetectorDetectGPT
Random,0.3584905660377358,0.9142857142857143,15,True,DetectorDetectGPT
Random,0.3418803418803419,0.9487179487179487,15,True,DetectorDetectGPT
SHAP,0.4669603524229075,0.717948717948718,15,True,DetectorDetectGPT
Anchor,0.8161434977578476,1.0,20,True,DetectorDetectGPT
Random,0.31932773109243695,0.9024390243902439,20,True,DetectorDetectGPT
Random,0.35714285714285715,0.9024390243902439,20,True,DetectorDetectGPT
Random,0.375,0.9285714285714286,20,True,DetectorDetectGPT
Random,0.3584905660377358,0.9428571428571428,20,True,DetectorDetectGPT
Random,0.29914529914529914,0.9743589743589743,20,True,DetectorDetectGPT
SHAP,0.4052863436123348,0.7051282051282052,20,True,DetectorDetectGPT
Anchor,0.8161434977578476,1.0,30,True,DetectorDetectGPT
Random,0.3025210084033613,0.926829268292683,30,True,DetectorDetectGPT
Random,0.35714285714285715,0.9512195121951219,30,True,DetectorDetectGPT
Random,0.3645833333333333,0.9761904761904762,30,True,DetectorDetectGPT
Random,0.330188679245283,0.9428571428571428,30,True,DetectorDetectGPT
Random,0.29914529914529914,0.9743589743589743,30,True,DetectorDetectGPT
SHAP,0.3876651982378855,0.8461538461538461,30,True,DetectorDetectGPT
Anchor,0.8161434977578476,1.0,40,True,DetectorDetectGPT
Random,0.2689075630252101,0.8292682926829268,40,True,DetectorDetectGPT
Random,0.33035714285714285,0.7804878048780488,40,True,DetectorDetectGPT
Random,0.3229166666666667,0.8571428571428571,40,True,DetectorDetectGPT
Random,0.27358490566037735,0.8571428571428571,40,True,DetectorDetectGPT
